student_id,gender,race/ethnicity,parental level of education,LUNCH,test preparation course,math score,reading score,writing score,telephone,college_id
10000000,female,african american,bachelor's degree,standard,none,72,72,74,4314721753,10002
10000001,female,asian american,some college,standard,completed,69,90,88,8357827673,10006
10000002,female,african american,master's degree,standard,none,90,95,93,9610170049,10007
10000003,male,white american,associate's degree,free/reduced,none,47,57,44,(558) 797-0612,10004
10000004,male,asian american,some college,standard,none,76,78,75,3655400803,10001
10000005,female,african american,associate's degree,standard,none,71,83,78,6557674966,10006
10000006,female,african american,some college,standard,completed,88,95,92,8127719308,10000
10000007,male,african american,some college,free/reduced,none,40,43,39,1786822075,10000
10000008,male,multiracial,high school,free/reduced,completed,64,64,67,+17577686091,10005
10000009,female,african american,high school,free/reduced,none,38,60,50,2620274865,10000
10000010,male,asian american,associate's degree,standard,none,58,54,52,2453470313,10003
10000011,male,multiracial,associate's degree,standard,none,40,52,43,3727949215,10005
10000012,female,african american,high school,standard,none,65,81,73,7983770482,10005
10000013,male,white american,some college,standard,completed,78,72,70,6385536379,10004
10000014,female,white american,master's degree,standard,none,50,53,58,9503786746,10003
10000015,female,asian american,some high school,standard,none,69,75,78,9762648918,10000
10000016,male,asian american,high school,standard,none,88,89,86,9905952666,10007
10000017,female,african american,some high school,free/reduced,none,18,32,28,9137401636,10005
10000018,male,asian american,master's degree,free/reduced,completed,46,42,46,4921055289,10001
10000019,female,asian american,associate's degree,free/reduced,none,54,58,61,9667785513,10005
10000020,male,multiracial,high school,standard,none,66,69,63,(658)1568498,10004
10000021,female,african american,some college,free/reduced,completed,65,75,70,6611683474,10005
10000022,male,multiracial,some college,standard,none,44,54,53,8789850603,10005
10000023,female,asian american,some high school,standard,none,69,73,73,9904573595,10004
10000024,male,multiracial,bachelor's degree,free/reduced,completed,74,71,80,6602243296,10002
10000025,male,white american,master's degree,free/reduced,none,73,74,72,8662127580,10007
10000026,male,african american,some college,standard,none,69,54,55,4808549665,10000
10000027,female,asian american,bachelor's degree,standard,none,67,69,75,9581711008,10005
10000028,male,asian american,high school,standard,none,70,70,65,9464331801,10006
10000029,female,multiracial,master's degree,standard,none,62,70,75,2119601711,10007
10000030,female,multiracial,some college,standard,none,69,74,74,478-833-3175,10002
10000031,female,african american,some college,standard,none,63,65,61,8917708468,10003
10000032,female,native american,master's degree,free/reduced,none,56,72,65,2283072652,10000
10000033,male,multiracial,some college,standard,none,40,42,38,8849089254,10006
10000034,male,native american,some college,standard,none,97,87,82,8235898431,10006
10000035,male,native american,associate's degree,standard,completed,81,81,79,7823959393,10000
10000036,female,multiracial,associate's degree,standard,none,74,81,83,4903738417,10006
10000037,female,multiracial,some high school,free/reduced,none,50,64,59,7694815401,10006
10000038,female,multiracial,associate's degree,free/reduced,completed,75,90,88,9874532034,10003
10000039,male,african american,associate's degree,free/reduced,none,57,56,57,5012870214,10006
10000040,male,asian american,associate's degree,free/reduced,none,55,61,54,1653589695,10007
10000041,female,asian american,associate's degree,standard,none,58,73,68,9975494584,10000
10000042,female,african american,associate's degree,standard,none,53,58,65,8468401620,10002
10000043,male,african american,some college,free/reduced,completed,59,65,66,3465833694,10007
10000044,female,native american,associate's degree,free/reduced,none,50,56,54,6738912204,10002
10000045,male,african american,associate's degree,standard,none,65,54,57,3766140824,10000
10000046,female,white american,associate's degree,standard,completed,55,65,62,5458109986,10002
10000047,female,asian american,high school,standard,none,66,71,76,4067462238,10003
10000048,female,multiracial,associate's degree,free/reduced,completed,57,74,76,1100818825,10000
10000049,male,asian american,high school,standard,completed,82,84,82,6906826798,10006
10000050,male,native american,some college,standard,none,53,55,48,5965514062,10002
10000051,male,native american,associate's degree,free/reduced,completed,77,69,68,6187890079,10004
10000052,male,asian american,some college,standard,none,53,44,42,1998627824,10006
10000053,male,multiracial,high school,standard,none,88,78,75,9063699195,10005
10000054,female,asian american,some high school,free/reduced,completed,71,84,87,3932094486,10000
10000055,female,asian american,high school,free/reduced,none,33,41,43,5525808786,10005
10000056,female,native american,associate's degree,standard,completed,82,85,86,4289559799,10000
10000057,male,multiracial,associate's degree,standard,none,52,55,49,5216597798,10002
10000058,male,multiracial,some college,standard,completed,58,59,58,3236309692,10001
10000059,female,asian american,some high school,free/reduced,none,0,17,10,5003701152,10001
10000060,male,native american,bachelor's degree,free/reduced,completed,79,74,72,4005442361,10005
10000061,male,white american,some high school,free/reduced,none,39,39,34,3719727071,10003
10000062,male,white american,associate's degree,free/reduced,none,62,61,55,9831056355,10001
10000063,female,asian american,associate's degree,standard,none,69,80,71,3448406544,10004
10000064,female,multiracial,some high school,standard,none,59,58,59,9307290521,10004
10000065,male,african american,some high school,standard,none,67,64,61,7543147394,10001
10000066,male,multiracial,some high school,free/reduced,none,45,37,37,2671885511,10003
10000067,female,asian american,some college,standard,none,60,72,74,8156570380,10001
10000068,male,african american,associate's degree,free/reduced,none,61,58,56,6992233016,10005
10000069,female,asian american,associate's degree,standard,none,39,64,57,8201217090,10003
10000070,female,multiracial,some college,free/reduced,completed,58,63,73,8383850398,10001
10000071,male,multiracial,some college,standard,completed,63,55,63,9051309844,10006
10000072,female,white american,associate's degree,free/reduced,none,41,51,48,4851329067,10004
10000073,male,asian american,some high school,free/reduced,none,61,57,56,6032969056,10005
10000074,male,asian american,some high school,standard,none,49,49,41,9770245157,10002
10000075,male,african american,associate's degree,free/reduced,none,44,41,38,4739186283,10006
10000076,male,native american,some high school,standard,none,30,26,22,6135698078,10006
10000077,male,white american,bachelor's degree,standard,completed,80,78,81,7063311117,10000
10000078,female,multiracial,some high school,standard,completed,61,74,72,7057424195,10004
10000079,female,native american,master's degree,standard,none,62,68,68,3962257082,10006
10000080,female,african american,associate's degree,standard,none,47,49,50,7997375049,10002
10000081,male,african american,high school,free/reduced,none,49,45,45,8599105368,10002
10000082,male,white american,some college,free/reduced,completed,50,47,54,8967798082,10001
10000083,male,native american,associate's degree,standard,none,72,64,63,9156710131,10005
10000084,male,multiracial,high school,free/reduced,none,42,39,34,8949649513,10004
10000085,female,asian american,some college,standard,none,73,80,82,5668045897,10003
10000086,female,asian american,some college,free/reduced,none,76,83,88,9931488921,10004
10000087,female,multiracial,associate's degree,standard,none,71,71,74,8492533913,10005
10000088,female,white american,some college,standard,none,58,70,67,5472844912,10007
10000089,female,multiracial,some high school,standard,none,73,86,82,8569104371,10004
10000090,female,asian american,bachelor's degree,standard,none,65,72,74,4132497987,10004
10000091,male,asian american,high school,free/reduced,none,27,34,36,9849693050,10004
10000092,male,asian american,high school,standard,none,71,79,71,2293751061,10000
10000093,male,asian american,associate's degree,free/reduced,completed,43,45,50,1102585246,10007
10000094,female,african american,some college,standard,none,79,86,92,2557684248,10005
10000095,male,asian american,associate's degree,free/reduced,completed,78,81,82,3946066684,10001
10000096,male,african american,some high school,standard,completed,65,66,62,7281923365,10004
10000097,female,native american,some college,standard,completed,63,72,70,2132588641,10000
10000098,female,multiracial,some college,free/reduced,none,58,67,62,6470417786,10002
10000099,female,multiracial,bachelor's degree,standard,none,65,67,62,9278863634,10003
10000100,male,african american,some college,standard,none,79,67,67,5018449518,10006
10000101,male,multiracial,bachelor's degree,standard,completed,68,74,74,4986064883,10007
10000102,female,multiracial,associate's degree,standard,none,85,91,89,5473889177,10006
10000103,male,african american,high school,standard,completed,60,44,47,9968365586,10006
10000104,male,asian american,some college,standard,completed,98,86,90,6854871959,10005
10000105,female,asian american,some college,standard,none,58,67,72,6410153253,10001
10000106,female,multiracial,master's degree,standard,none,87,100,100,9827721274,10006
10000107,male,native american,associate's degree,standard,completed,66,63,64,6022542653,10006
10000108,female,african american,associate's degree,free/reduced,none,52,76,70,1832715809,10006
10000109,female,african american,some high school,standard,none,70,64,72,8513200458,10000
10000110,female,multiracial,associate's degree,free/reduced,completed,77,89,98,6001031123,10001
10000111,male,asian american,high school,standard,none,62,55,49,7068231107,10007
10000112,male,white american,associate's degree,standard,none,54,53,47,1004534538,10001
10000113,female,multiracial,some college,standard,none,51,58,54,9303881251,10000
10000114,female,native american,bachelor's degree,standard,completed,99,100,100,5053698710,10006
10000115,male,asian american,high school,standard,none,84,77,74,2805239391,10004
10000116,female,african american,bachelor's degree,free/reduced,none,75,85,82,4903740574,10006
10000117,female,multiracial,bachelor's degree,standard,none,78,82,79,5389934071,10007
10000118,female,multiracial,some high school,standard,none,51,63,61,1292196827,10006
10000119,female,asian american,some college,standard,none,55,69,65,6396116406,10004
10000120,female,asian american,bachelor's degree,standard,completed,79,92,89,4990444213,10001
10000121,male,african american,associate's degree,standard,completed,91,89,92,5725971452,10006
10000122,female,asian american,some college,standard,completed,88,93,93,4292564037,10000
10000123,male,multiracial,high school,free/reduced,none,63,57,56,7977020041,10003
10000124,male,native american,some college,standard,none,83,80,73,8451688635,10000
10000125,female,african american,high school,standard,none,87,95,86,3567228545,10003
10000126,male,african american,some high school,standard,none,72,68,67,6094473215,10002
10000127,male,multiracial,some college,standard,completed,65,77,74,1070806342,10001
10000128,male,multiracial,master's degree,standard,none,82,82,74,3632521565,10006
10000129,female,white american,bachelor's degree,standard,none,51,49,51,2237258774,10006
10000130,male,multiracial,master's degree,standard,none,89,84,82,4322252581,10007
10000131,male,asian american,some high school,free/reduced,completed,53,37,40,4398640955,10003
10000132,male,native american,some college,free/reduced,completed,87,74,70,1798345680,10005
10000133,female,asian american,some college,standard,completed,75,81,84,4708355341,10007
10000134,male,multiracial,bachelor's degree,free/reduced,completed,74,79,75,4526335852,10004
10000135,male,asian american,bachelor's degree,standard,none,58,55,48,9596435887,10000
10000136,male,african american,some high school,standard,completed,51,54,41,2678212712,10005
10000137,male,native american,high school,standard,none,70,55,56,5016466960,10005
10000138,female,asian american,associate's degree,standard,none,59,66,67,8713553950,10004
10000139,male,multiracial,some college,standard,completed,71,61,69,3211967398,10003
10000140,female,multiracial,some high school,standard,none,76,72,71,8468788083,10005
10000141,female,asian american,some college,free/reduced,none,59,62,64,7577300851,10002
10000142,female,native american,some college,free/reduced,completed,42,55,54,5637519935,10000
10000143,male,white american,high school,standard,none,57,43,47,5184115121,10004
10000144,male,multiracial,some college,standard,none,88,73,78,8585297268,10004
10000145,female,asian american,some college,free/reduced,none,22,39,33,4109187537,10003
10000146,male,african american,some high school,standard,none,88,84,75,7965147252,10007
10000147,male,asian american,associate's degree,free/reduced,none,73,68,66,4767161029,10001
10000148,female,multiracial,bachelor's degree,standard,completed,68,75,81,7282433989,10004
10000149,male,native american,associate's degree,free/reduced,completed,100,100,93,3459492867,10000
10000150,male,white american,some high school,standard,completed,62,67,69,2005372928,10005
10000151,male,white american,bachelor's degree,standard,none,77,67,68,9699739094,10007
10000152,female,african american,associate's degree,standard,completed,59,70,66,3711573242,10001
10000153,male,multiracial,bachelor's degree,standard,none,54,49,47,1423215073,10000
10000154,male,multiracial,some high school,standard,none,62,67,61,2526344784,10007
10000155,female,asian american,some college,standard,completed,70,89,88,3759175141,10002
10000156,female,native american,high school,free/reduced,completed,66,74,78,2048791685,10006
10000157,male,african american,some college,free/reduced,none,60,60,60,2254477191,10005
10000158,female,african american,associate's degree,standard,completed,61,86,87,2861719669,10004
10000159,male,multiracial,associate's degree,free/reduced,none,66,62,64,9652481098,10001
10000160,male,african american,associate's degree,free/reduced,completed,82,78,74,2239003661,10005
10000161,female,native american,some college,free/reduced,completed,75,88,85,9514221581,10006
10000162,male,african american,master's degree,free/reduced,none,49,53,52,8083092505,10003
10000163,male,asian american,high school,standard,none,52,53,49,3329418506,10002
10000164,female,native american,master's degree,standard,none,81,92,91,5144294027,10007
10000165,female,asian american,bachelor's degree,standard,completed,96,100,100,5404941729,10005
10000166,male,asian american,high school,free/reduced,completed,53,51,51,9378833327,10003
10000167,female,african american,master's degree,free/reduced,completed,58,76,78,2219781933,10001
10000168,female,african american,high school,standard,completed,68,83,78,6168843132,10006
10000169,female,asian american,some college,free/reduced,completed,67,75,70,6687146506,10002
10000170,male,white american,high school,standard,completed,72,73,74,8688159506,10004
10000171,male,native american,some high school,standard,none,94,88,78,1594668379,10007
10000172,female,multiracial,some college,standard,none,79,86,81,1910665750,10002
10000173,female,asian american,associate's degree,standard,none,63,67,70,9496107595,10002
10000174,female,asian american,bachelor's degree,free/reduced,completed,43,51,54,3218112604,10001
10000175,female,asian american,master's degree,standard,completed,81,91,87,3142804705,10007
10000176,female,african american,high school,free/reduced,completed,46,54,58,8475056279,10005
10000177,female,asian american,associate's degree,standard,completed,71,77,77,2498216126,10006
10000178,female,african american,master's degree,free/reduced,completed,52,70,62,6447971018,10001
10000179,female,multiracial,some high school,standard,completed,97,100,100,1557601977,10006
10000180,male,asian american,master's degree,free/reduced,completed,62,68,75,6652779288,10000
10000181,female,asian american,some college,free/reduced,none,46,64,66,8144770089,10000
10000182,female,native american,high school,standard,none,50,50,47,4492621272,10005
10000183,female,multiracial,associate's degree,standard,none,65,69,70,6220191072,10000
10000184,male,asian american,some high school,free/reduced,completed,45,52,49,9323429982,10002
10000185,male,asian american,associate's degree,free/reduced,completed,65,67,65,9818369317,10000
10000186,male,native american,high school,standard,none,80,76,65,5942989311,10003
10000187,male,multiracial,some high school,standard,completed,62,66,68,1554944578,10007
10000188,male,african american,some high school,free/reduced,none,48,52,45,9938278872,10003
10000189,female,asian american,bachelor's degree,standard,none,77,88,87,6165482479,10006
10000190,female,native american,associate's degree,standard,none,66,65,69,2779464789,10001
10000191,male,multiracial,some college,standard,completed,76,83,79,7821782079,10004
10000192,female,african american,some high school,standard,none,62,64,66,4974403118,10000
10000193,male,multiracial,some college,standard,completed,77,62,62,3582172655,10002
10000194,female,asian american,master's degree,standard,completed,69,84,85,3997630774,10006
